79.042,78.4186,78.7249,78.7413,78.0657,78.4884,78.1454,78.4378
76.5222,76.884,76.2401,76.4575,76.8384,76.7857,76.598,75.7686
77.2394,77.4308,76.6722,76.9527,76.8536,76.8127,77.2611,77.5617
77.0693,76.5706,77.0042,77.0715,76.9322,77.4952,77.2742,77.6109
78.5521,78.2584,78.5833,78.2372,78.4779,78.8957,78.6978,78.4337
79.1441,78.7596,78.7484,78.8268,78.9739,78.637,78.8787,78.733
79.0969,79.4283,79.3725,79.347,79.5287,79.9092,80.4485,79.4663
79.5665,79.2843,79.404,79.4898,79.2879,79.3399,79.3028,79.2957
77.7767,77.8866,77.7436,77.4299,77.3714,76.917,77.4386,77.35
76.3026,76.5202,77.3438,77.3448,77.3745,77.1722,77.5732,77.8639
77.583,77.4978,77.2201,77.064,76.8712,76.4239,76.6519,76.5858
75.3347,75.4703,75.1462,75.0904,75.2483,75.387,75.2498,75.4914
76.3963,76.1205,76.427,76.7431,76.7882,76.7558,77.3591,77.4217
76.3572,76.1817,76.0794,75.9022,75.6439,75.8494,75.57,75.542
75.6475,75.9327,75.7477,75.547,75.4126,75.2037,75.1819,75.2864
76.294,76.5694,77.124,77.1701,77.026,77.0267,77.083,77.4475
76.3902,76.4959,76.3461,76.0465,75.7822,75.9064,76.0005,76.1461
75.0781,75.0494,74.8904,74.9561,75.2112,75.3745,74.67,75.1434
75.9305,76.0458,76.2287,76.0213,75.9313,75.994,75.5394,75.513
73.9326,73.7837,73.7448,73.9057,74.1204,73.792,73.9677,74.1705
73.8276,73.7625,74.1182,74.0367,73.9036,73.8368,73.8578,73.6984
73.9964,73.8876,73.7792,73.5537,73.422,73.3375,73.7808,73.769
73.3414,73.0758,73.3643,73.2113,73.1681,73.0906,72.8312,72.6335
72.1978,72.1651,71.987,71.8925,71.8915,71.7878,72.113,71.8625
71.9376,71.7976,71.7595,71.8283,72.1395,71.6348,71.5488,72.3958
72.3903,72.624,72.2724,72.2013,71.9943,71.8622,71.7989,71.1932
71.0968,70.8108,70.8497,70.5021,70.3588,70.1258,70.687,71.0499
70.2635,70.4468,70.122,69.7143,69.6955,69.8936,69.9233,69.7153
70.1308,70.2975,70.2237,70.2611,70.6295,70.6035,70.8105,70.7694
70.6843,70.8096,70.6631,70.9246,71.0399,71.261,71.0818,71.1905
71.0262,70.9132,70.8145,70.7508,70.8427,71.0743,70.6565,70.5608
68.5673,68.1465,68.4891,68.4555,68.2861,68.5954,68.4889,68.1028
68.4815,68.5832,68.6394,67.6728,67.64,67.3571,67.476,67.5922
68.7186,68.4412,68.2845,68.3097,68.1932,68.1286,67.5393,67.8597
67.6913,68.0508,67.7083,67.894,67.9645,67.8403,67.8753,67.51
